any,trimestre,periode,nivell,codi,nom,metrica,tipus_habitatge,valor
2014,1,2014-Q1,barcelona,,Barcelona,compravendes,nou_lliure,290.0
2014,1,2014-Q1,barcelona,,Barcelona,compravendes,protegit,53.0
2014,1,2014-Q1,barcelona,,Barcelona,compravendes,total,2658.0
2014,1,2014-Q1,barcelona,,Barcelona,compravendes,usat,2315.0
2014,1,2014-Q1,barcelona,,Barcelona,preu_m2,nou,3050.31
2014,1,2014-Q1,barcelona,,Barcelona,preu_m2,total,2699.33
2014,1,2014-Q1,barcelona,,Barcelona,preu_m2,usat,2641.54
2014,1,2014-Q1,barcelona,,Barcelona,preu_total,nou,282.91959
2014,1,2014-Q1,barcelona,,Barcelona,preu_total,total,248.40968
2014,1,2014-Q1,barcelona,,Barcelona,preu_total,usat,242.72724
2014,1,2014-Q1,barcelona,,Barcelona,superficie,nou_lliure,86.71
2014,1,2014-Q1,barcelona,,Barcelona,superficie,protegit,68.48
2014,1,2014-Q1,barcelona,,Barcelona,superficie,total,82.13
2014,1,2014-Q1,barcelona,,Barcelona,superficie,usat,81.9
2014,1,2014-Q1,barri,1.0,el Raval,compravendes,nou_lliure,0.0
2014,1,2014-Q1,barri,1.0,el Raval,compravendes,protegit,0.0
2014,1,2014-Q1,barri,1.0,el Raval,compravendes,total,92.0
2014,1,2014-Q1,barri,1.0,el Raval,compravendes,usat,92.0
2014,1,2014-Q1,barri,1.0,el Raval,preu_m2,nou,0.0
2014,1,2014-Q1,barri,1.0,el Raval,preu_m2,total,1790.83
2014,1,2014-Q1,barri,1.0,el Raval,preu_m2,usat,1790.83
2014,1,2014-Q1,barri,1.0,el Raval,preu_total,nou,0.0
2014,1,2014-Q1,barri,1.0,el Raval,preu_total,total,114.86102
2014,1,2014-Q1,barri,1.0,el Raval,preu_total,usat,114.86102
2014,1,2014-Q1,barri,1.0,el Raval,superficie,nou_lliure,0.0
2014,1,2014-Q1,barri,1.0,el Raval,superficie,protegit,0.0
2014,1,2014-Q1,barri,1.0,el Raval,superficie,total,63.28
2014,1,2014-Q1,barri,1.0,el Raval,superficie,usat,63.28
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,compravendes,nou_lliure,7.0
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,compravendes,protegit,0.0
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,compravendes,total,50.0
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,compravendes,usat,43.0
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,preu_m2,nou,2863.19
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,preu_m2,total,2939.29
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,preu_m2,usat,2948.8
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,preu_total,nou,232.0
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,preu_total,total,356.44676
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,preu_total,usat,372.0026
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,superficie,nou_lliure,88.33
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,superficie,protegit,0.0
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,superficie,total,104.83
2014,1,2014-Q1,barri,2.0,el Barri Gòtic,superficie,usat,107.3
2014,1,2014-Q1,barri,3.0,la Barceloneta,compravendes,nou_lliure,31.0
2014,1,2014-Q1,barri,3.0,la Barceloneta,compravendes,protegit,0.0
2014,1,2014-Q1,barri,3.0,la Barceloneta,compravendes,total,59.0
2014,1,2014-Q1,barri,3.0,la Barceloneta,compravendes,usat,28.0
2014,1,2014-Q1,barri,3.0,la Barceloneta,preu_m2,nou,4414.67
2014,1,2014-Q1,barri,3.0,la Barceloneta,preu_m2,total,4295.31
2014,1,2014-Q1,barri,3.0,la Barceloneta,preu_m2,usat,4167.11
2014,1,2014-Q1,barri,3.0,la Barceloneta,preu_total,nou,236.38672
2014,1,2014-Q1,barri,3.0,la Barceloneta,preu_total,total,198.25697
2014,1,2014-Q1,barri,3.0,la Barceloneta,preu_total,usat,157.30279
2014,1,2014-Q1,barri,3.0,la Barceloneta,superficie,nou_lliure,49.28
2014,1,2014-Q1,barri,3.0,la Barceloneta,superficie,protegit,0.0
2014,1,2014-Q1,barri,3.0,la Barceloneta,superficie,total,45.5
2014,1,2014-Q1,barri,3.0,la Barceloneta,superficie,usat,41.44
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",compravendes,nou_lliure,8.0
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",compravendes,protegit,0.0
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",compravendes,total,61.0
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",compravendes,usat,53.0
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",preu_m2,nou,3019.74
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",preu_m2,total,2596.05
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",preu_m2,usat,2537.9
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",preu_total,nou,183.0
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",preu_total,total,148.0729
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",preu_total,usat,143.27898
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",superficie,nou_lliure,62.43
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",superficie,protegit,0.0
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",superficie,total,61.71
2014,1,2014-Q1,barri,4.0,"Sant Pere, Santa Caterina i la Ribera",superficie,usat,61.61
2014,1,2014-Q1,barri,5.0,el Fort Pienc,compravendes,nou_lliure,11.0
2014,1,2014-Q1,barri,5.0,el Fort Pienc,compravendes,protegit,0.0
2014,1,2014-Q1,barri,5.0,el Fort Pienc,compravendes,total,52.0
2014,1,2014-Q1,barri,5.0,el Fort Pienc,compravendes,usat,41.0
2014,1,2014-Q1,barri,5.0,el Fort Pienc,preu_m2,nou,4706.16
2014,1,2014-Q1,barri,5.0,el Fort Pienc,preu_m2,total,3027.38
2014,1,2014-Q1,barri,5.0,el Fort Pienc,preu_m2,usat,2450.3
2014,1,2014-Q1,barri,5.0,el Fort Pienc,preu_total,nou,349.45054
2014,1,2014-Q1,barri,5.0,el Fort Pienc,preu_total,total,254.31246
2014,1,2014-Q1,barri,5.0,el Fort Pienc,preu_total,usat,221.60875
2014,1,2014-Q1,barri,5.0,el Fort Pienc,superficie,nou_lliure,72.73
2014,1,2014-Q1,barri,5.0,el Fort Pienc,superficie,protegit,0.0
2014,1,2014-Q1,barri,5.0,el Fort Pienc,superficie,total,84.45
2014,1,2014-Q1,barri,5.0,el Fort Pienc,superficie,usat,88.03
2014,1,2014-Q1,barri,6.0,la Sagrada Família,compravendes,nou_lliure,1.0
2014,1,2014-Q1,barri,6.0,la Sagrada Família,compravendes,protegit,0.0
2014,1,2014-Q1,barri,6.0,la Sagrada Família,compravendes,total,17.0
2014,1,2014-Q1,barri,6.0,la Sagrada Família,compravendes,usat,16.0
2014,1,2014-Q1,barri,6.0,la Sagrada Família,preu_m2,nou,3416.67
2014,1,2014-Q1,barri,6.0,la Sagrada Família,preu_m2,total,2695.62
2014,1,2014-Q1,barri,6.0,la Sagrada Família,preu_m2,usat,2623.52
2014,1,2014-Q1,barri,6.0,la Sagrada Família,preu_total,nou,205.0
