any,codi_districte,nom_districte,codi_barri,nom_barri,renda_mitjana_eur
2015,1,Ciutat Vella,1,el Raval,11835.0
2015,1,Ciutat Vella,2,el Barri Gòtic,15616.0
2015,1,Ciutat Vella,3,la Barceloneta,14988.0
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16014.0
2015,2,Eixample,5,el Fort Pienc,21241.0
2015,2,Eixample,6,la Sagrada Família,21223.0
2015,2,Eixample,7,la Dreta de l'Eixample,26468.0
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,24555.0
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,23502.0
2015,2,Eixample,10,Sant Antoni,20585.0
2015,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,15324.0
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,12284.0
2015,3,Sants-Montjuïc,13,la Marina de Port,15979.0
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,19398.0
2015,3,Sants-Montjuïc,15,Hostafrancs,18568.0
2015,3,Sants-Montjuïc,16,la Bordeta,18624.0
2015,3,Sants-Montjuïc,17,Sants - Badal,18450.0
2015,3,Sants-Montjuïc,18,Sants,20261.0
2015,4,Les Corts,19,les Corts,26168.0
2015,4,Les Corts,20,la Maternitat i Sant Ramon,23707.0
2015,4,Les Corts,21,Pedralbes,34169.0
2015,5,Sarrià-St. Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",23824.0
2015,5,Sarrià-St. Gervasi,23,Sarrià,30066.0
2015,5,Sarrià-St. Gervasi,24,les Tres Torres,35505.0
2015,5,Sarrià-St. Gervasi,25,Sant Gervasi - la Bonanova,30549.0
2015,5,Sarrià-St. Gervasi,26,Sant Gervasi - Galvany,31511.0
2015,5,Sarrià-St. Gervasi,27,el Putxet i el Farró,26010.0
2015,6,Gràcia,28,Vallcarca i els Penitents,24674.0
2015,6,Gràcia,29,el Coll,18857.0
2015,6,Gràcia,30,la Salut,23013.0
2015,6,Gràcia,31,la Vila de Gràcia,21118.0
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,22975.0
2015,7,Horta-Guinardó,33,el Baix Guinardó,20433.0
2015,7,Horta-Guinardó,34,Can Baró,18700.0
2015,7,Horta-Guinardó,35,el Guinardó,19807.0
2015,7,Horta-Guinardó,36,la Font d'en Fargues,22862.0
2015,7,Horta-Guinardó,37,el Carmel,14457.0
2015,7,Horta-Guinardó,38,la Teixonera,16127.0
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,17491.0
2015,7,Horta-Guinardó,40,Montbau,19091.0
2015,7,Horta-Guinardó,41,la Vall d'Hebron,21139.0
2015,7,Horta-Guinardó,42,la Clota,17412.0
2015,7,Horta-Guinardó,43,Horta,19085.0
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,18442.0
2015,8,Nou Barris,45,Porta,16688.0
2015,8,Nou Barris,46,el Turó de la Peira,13981.0
2015,8,Nou Barris,47,Can Peguera,12159.0
2015,8,Nou Barris,48,la Guineueta,18282.0
2015,8,Nou Barris,49,Canyelles,17417.0
2015,8,Nou Barris,50,les Roquetes,12623.0
2015,8,Nou Barris,51,Verdun,13555.0
2015,8,Nou Barris,52,la Prosperitat,15161.0
2015,8,Nou Barris,53,la Trinitat Nova,11442.0
2015,8,Nou Barris,54,Torre Baró,10480.0
2015,8,Nou Barris,55,Ciutat Meridiana,10511.0
2015,8,Nou Barris,56,Vallbona,11475.0
2015,9,Sant Andreu,57,la Trinitat Vella,11937.0
2015,9,Sant Andreu,58,Baró de Viver,11012.0
2015,9,Sant Andreu,59,el Bon Pastor,14813.0
2015,9,Sant Andreu,60,Sant Andreu,20205.0
2015,9,Sant Andreu,61,la Sagrera,18835.0
2015,9,Sant Andreu,62,el Congrés i els Indians,18709.0
2015,9,Sant Andreu,63,Navas,18992.0
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,19679.0
2015,10,Sant Martí,65,el Clot,19308.0
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20439.0
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,30201.0
2015,10,Sant Martí,68,el Poblenou,20388.0
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,22781.0
2015,10,Sant Martí,70,el Besòs i el Maresme,13112.0
2015,10,Sant Martí,71,Provençals del Poblenou,18153.0
2015,10,Sant Martí,72,Sant Martí de Provençals,17761.0
2015,10,Sant Martí,73,la Verneda i la Pau,16304.0
2016,1,Ciutat Vella,1,el Raval,12020.0
2016,1,Ciutat Vella,2,el Barri Gòtic,16065.0
2016,1,Ciutat Vella,3,la Barceloneta,15181.0
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16796.0
2016,2,Eixample,5,el Fort Pienc,21707.0
2016,2,Eixample,6,la Sagrada Família,21576.0
2016,2,Eixample,7,la Dreta de l'Eixample,28506.0
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,25643.0
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,24117.0
